,gsm,CpG_C,CHG_C,CHH_C,CpG_T,CHG_T,CHH_T,C_total,T_total,C_T_total,modC_perc,exp,cell
0,GSM1173794,11703082,5551137,16452128,230112118,1311936668,3975921743,33706347,5517970529,5551676876,0.6071381269632812,TAB,Mouse fetal cortex
1,GSM1173795,38787827,6927668,20734609,210347701,1325102150,3919710744,66450104,5455160595,5521610699,1.2034550717607555,TAB,Mouse adult cortex
2,GSM1180306,10937834,5163316,13947761,234367413,1232347108,3300416394,30048911,4767130915,4797179826,0.6263870042381855,TAB,Mouse ESCs
3,GSM1180307,9508974,4025014,10604784,207946905,1076711897,2791226185,24138772,4075884987,4100023759,0.5887471248675757,TAB,Mouse ESCs
4,GSM1180308,7129696,4469100,14041806,214905883,1191297419,3819849188,25640602,5226052490,5251693092,0.48823496633987995,TAB,Mouse ESCs
5,GSM1180315,111589850,5477704,13313010,88015651,988682511,2519100770,130380564,3595798932,3726179496,3.499041421379771,BS,Mouse ESCs
6,GSM1180316,77178061,3941871,9424426,61477424,671988539,1654702229,90544358,2388168192,2478712550,3.6528785074332237,BS,Mouse ESCs
7,GSM1180317,169898602,8358067,22389752,94195831,1391089118,4027492341,200646421,5512777290,5713423711,3.511842130904756,BS,Mouse ESCs
8,GSM1541958,168950631,24876432,112784461,40793055,1223230017,4334143803,306611524,5598166875,5904778399,5.192600014454835,BS,Mouse neurons
9,GSM1541959,160384236,24357474,110552008,38366619,1161676107,4127164893,295293718,5327207619,5622501337,5.251999071245397,BS,Mouse neurons
10,GSM3207181,1878594,1140934,4374995,109638912,604994597,2066729269,7394523,2781362778,2788757301,0.2651547697373469,ACE,Mouse ESCs
11,GSM3207182,3990294,1441704,4795655,281636347,1602528194,5596255534,10227653,7480420075,7490647728,0.13653896660724132,ACE,Mouse ESCs
12,GSM3207183,194169,844504,3502870,57321279,316678674,1101264303,4541543,1475264256,1479805799,0.30690128414613677,ACE,TetTKO mESCs
13,GSM3207184,534528,1341614,4264829,281123255,1529864945,5226023660,6140971,7037011860,7043152831,0.08719065377895674,ACE,TetTKO mESCs
14,GSM3207185,31830164,2453794,9702360,97653734,752063558,2659598597,43986318,3509315889,3553302207,1.237899717996038,ACE,Mouse neurons
15,GSM3207186,69388285,3687533,13368560,229353132,1750809976,6155375926,86444378,8135539034,8221983412,1.0513810800668153,ACE,Mouse neurons
16,GSM5849646,263704459,22108086,106722630,65216399,1710331588,5887575127,392535175,7663123114,8055658289,4.872788305035316,EM,Mouse neurons
17,GSM5849647,280914903,24211097,117291408,65461703,1837579696,6410358385,422417408,8313399784,8735817192,4.835465288660541,EM,Mouse neurons
18,NA12878_50ng_rep1,173706433,1917153,6126913,159762503,1482892979,5127158284,181750499,6769813766,6951564265,2.6145266312948343,EM,human_bcells
19,NA12878_50ng_rep2,171936342,1920593,6073254,157397419,1455585224,5000558961,179930189,6613541604,6793471793,2.648574903709768,EM,human_bcells
